TWEET,STOCK,DATE,LAST_PRICE,3_DAY_RETURN,PX_VOLUME,VOLATILITY_10D,VOLATILITY_30D,LSTM_POLARITY,TEXTBLOB_POLARITY,TWTOKEN
"@FolarinXO @Nike You are just constituting nuisance here and there,continue ranting on someone that doesn’t give a… https://t.co/uvrLigkKxK",Nike,25/09/2018,84.79,0.0089633211463614,10519535.0,18.387,19.656,-1,0.0,"$MENTION$ $MENTION$ You are just constituting nuisance here and there,continue ranting on someone that doesnt give a $URL$"
Check out Vintage 1978 The Sesame Street Library Volume 5 Hardback Big Bird Muppets Book https://t.co/oSoyH0MR8X @eBay,eBay,01/08/2017,35.91,0.0008354218880534,4685371.0,19.951,20.842,1,0.0,Check out Vintage $NUMBER$ The Sesame Street Library Volume $NUMBER$ Hardback Big Bird Muppets Book $URL$ $MENTION$
@Apple Store Performance: Felix Lewis-Thursday October 25th 7:30-8:30pm Apple Williamsburg 247 Bedford Avenue Brook… https://t.co/mxWiNfL82l,Apple,23/10/2018,222.73,-0.0153549140214609,38767846.0,31.695,28.617,1,0.0,$MENTION$ Store Performance: Felix Lewis-Thursday October $NUMBER$th $NUMBER$:30-8:30pm Apple Williamsburg $NUMBER$ Bedford Avenue Brook $URL$
RT @BrooksPlace1225: @jeffastrof @reverenderyk @PrimeVideo @hulu @netflix Trial and Error was like date night for me &amp; my husband! #savetri…,Netflix,03/09/2018,367.68,0.0,7943443.0,34.963,35.842,1,0.0,$RESERVED$ $MENTION$: $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ Trial and Error was like date night for me &amp; my husband! $HASHTAG$
RT @Nike: Don’t ask if your dreams are crazy. Ask if they’re crazy enough. #justdoit https://t.co/Wd5L42egV8,Nike,08/09/2018,80.3,-0.0047322540473224,6633912.0,21.364,18.219,1,-0.6,$RESERVED$ $MENTION$: Dont ask if your dreams are crazy. Ask if theyre crazy enough. $HASHTAG$ $URL$
@netflix It wasnt that scary tbh 😅,Netflix,24/10/2018,301.83,0.1021767219958255,19039297.0,83.53399999999998,58.904,-1,-0.5,$MENTION$ It wasnt that scary tbh $EMOJI$
Check out NEW Masters Augusta Golf Balls Slazenger 3 Piece Sleeve 420D Raw Distance Plus  https://t.co/BWkn3wO2go via @eBay,eBay,04/09/2018,34.8,-0.0054597701149424,6743260.0,8.721,14.554,1,-0.0472027972027972,Check out NEW Masters Augusta Golf Balls Slazenger $NUMBER$ Piece Sleeve $NUMBER$D Raw Distance Plus $URL$ via $MENTION$
"Using Microsoft #AI and the #cloud, @Shell is increasing #safety at gas stations to spot risks at the pump, like sm… https://t.co/mNWEDqsAby",Microsoft,01/10/2018,115.61,-0.010725715768532,18883079.0,14.055,16.1,1,0.0,"Using Microsoft $HASHTAG$ and the $HASHTAG$, $MENTION$ is increasing $HASHTAG$ at gas stations to spot risks at the pump, like sm $URL$"
RT @ABREG_1: I had a blast helping out in Houston! Tweet and RT with #HR4HR during the World Series and @TMobile will donate $2 to @TeamRub…,TMobile,27/10/2018,65.11,0.0092151743203808,7111280.0,34.61,25.734,1,0.0,$RESERVED$ $MENTION$: I had a blast helping out in Houston! Tweet and RT with $HASHTAG$ during the World Series and $MENTION$ will donate $2 to $MENTION$
@raceenginedevelopment_ helping out with the R &amp; D for our new @Honda L15 MID Kit. #ComingSoon #Honda #l15 #mid… https://t.co/dQYyXdYKH8,Honda,14/09/2018,3217.0,-0.0133664905191171,6734300.0,19.242,20.761,-1,0.0681818181818181,$MENTION$ helping out with the R &amp; D for our new $MENTION$ L15 MID Kit. $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $URL$
Check out Black Sun sitra Silver Plated Cuff-Links Gift for Men Women  #1StopCufflinkShop https://t.co/QtxXzHkRpe via @eBay,eBay,10/09/2018,33.71,0.0083061406110946,7787615.0,15.989,14.757,1,-0.1666666666666666,Check out Black Sun sitra Silver Plated Cuff-Links Gift for Men Women $HASHTAG$ $URL$ via $MENTION$
Check out my listing on @eBay: https://t.co/QHeOh5Kb6M via @eBay,eBay,31/05/2017,34.3,0.0174927113702624,9762178.0,16.727,22.532,-1,0.0,Check out my listing on $MENTION$: $URL$ via $MENTION$
RT @milliebbrown: @MsSarahPaulson and I dancing the night away😘❤️️ @netflix after party 🎉 https://t.co/bKMl6EMrez,Netflix,31/01/2017,140.71,0.0123658588586453,4411631.0,27.398000000000003,24.135,1,0.0,$RESERVED$ $MENTION$: $MENTION$ and I dancing the night away$EMOJI$$EMOJI$ $MENTION$ after party $EMOJI$ $URL$
Check out Yoda Star Wars Disney Infinity Character 3.0 For Wii U Game Display Piece #Disney https://t.co/JYtlM401Ue via @eBay,Disney,12/09/2018,109.46,0.0137949936049699,5236734.0,9.707,12.097,-1,-0.4,Check out Yoda Star Wars Disney Infinity Character $NUMBER$ For Wii U Game Display Piece $HASHTAG$ $URL$ via $MENTION$
@thoralmightydog @Nike Me fink Nike should make poopie shoes 🤷🏼‍♀️🤷🏼‍♀️ don’t worry me want share now if Dey do it! 😂😈,Nike,15/09/2018,83.49,-0.0058689663432745,4884358.0,23.117,18.114,-1,0.0,$MENTION$ $MENTION$ Me fink Nike should make poopie shoes $EMOJI$$EMOJI$$EMOJI$$EMOJI$ dont worry me want share now if Dey do it! $EMOJI$$EMOJI$
@PhilMcCrackin44 @DebraMMason1 @Nike @ArizonaKayte @RubyRockstar333 @PatrioticVa @GartrellLinda @TheTestyTarheel… https://t.co/0JOn4QcABO,Nike,04/09/2018,79.6,0.0326633165829146,18565837.0,20.517,20.153,-1,0.0,$MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $URL$
