TWEET,STOCK,DATE,LAST_PRICE,3_DAY_RETURN,PX_VOLUME,VOLATILITY_10D,VOLATILITY_30D,LSTM_POLARITY,TEXTBLOB_POLARITY,TWTOKEN
RT @neiljgibson: So proud that @FedEx made the list: The Most Trusted Brands Among Small-Business Owners via @Entrepreneur…,FedEx,28/04/2017,189.7,-0.0038481813389561,1377452.0,17.145,21.867,1,0.65,$RESERVED$ $MENTION$: So proud that $MENTION$ made the list: The Most Trusted Brands Among Small-Business Owners via $MENTION$
This film is so inspiring! I stand with @glblctzn and @HP to support girls and women as they follow their dreams. https://t.co/JHpbCG5tXE,HP,22/09/2018,25.83,-0.022067363530778,21915838.0,11.559,15.026,1,0.625,This film is so inspiring! I stand with $MENTION$ and $MENTION$ to support girls and women as they follow their dreams. $URL$
@eBay Fuck you deals. You let people steal from good sellers.,eBay,19/10/2018,28.75,0.1217391304347826,39779447.0,58.203,35.868,1,-0.4,$MENTION$ Fuck you deals. You let people steal from good sellers.
The Zimmah Chronicles: The Complete Series FREE https://t.co/ZJYiiRNdWT via @amazon,Amazon,30/11/2017,1176.75,0.0162141491395792,4509208.0,24.981,40.451,1,0.25,The Zimmah Chronicles: The Complete Series FREE $URL$ via $MENTION$
Check out VINTAGE BRASS + BLACK LACQUER EAST INDIA TEA SET - Tea Pot and 4 Stemmed Cups  https://t.co/vpdZdw8cJW via @eBay,eBay,17/09/2018,34.2,-0.0029239766081871,6722685.0,17.965,14.271,1,-0.1666666666666666,Check out VINTAGE BRASS + BLACK LACQUER EAST INDIA TEA SET - Tea Pot and $NUMBER$ Stemmed Cups $URL$ via $MENTION$
RT @TerribleShowell: @johnrich @Nike Your soundman did this? He protested on work time? I mean I respect his right for his political opinio…,Nike,04/09/2018,79.6,0.0326633165829146,18565837.0,20.517,20.153,1,0.0,$RESERVED$ $MENTION$: $MENTION$ $MENTION$ Your soundman did this? He protested on work time? I mean I respect his right for his political opinio
"RT @Reuters: Senator Collins says not committed to tax bill, concerned about SALT https://t.co/lurgGV4iNz https://t.co/cEBUGb4p8a",Reuters,30/11/2017,48.5406,0.0052183120933816,816955.0,7.222,18.276,-1,0.0,"$RESERVED$ $MENTION$: Senator Collins says not committed to tax bill, concerned about SALT $URL$ $URL$"
Hercules Tuff Safety Strobe Dog Walking Lights for $9.99https://t.co/AxRO6cJLkW via @amazon#Cycling #LED #BikeSafetyLights,Amazon,30/06/2017,968.0,0.0090702479338842,3390345.0,17.035,19.114,1,0.0,Hercules Tuff Safety Strobe Dog Walking Lights for $9.99$URL$ via $MENTION$$HASHTAG$ $HASHTAG$ $HASHTAG$
RT @Manal_Cali: Hey @Nike can you sue her for illegally using your trademark and name without permission? https://t.co/XLeHqsZknc,Nike,05/09/2018,79.92,0.0285285285285285,12269138.0,21.037,19.239,1,-0.5,$RESERVED$ $MENTION$: Hey $MENTION$ can you sue her for illegally using your trademark and name without permission? $URL$
Check out Red SANTA Figurine w/Christmas Tree*Primitive/French Country Mantel Decor  https://t.co/0V9GNdDs6l via @eBay,eBay,30/11/2017,34.67,0.0380732621863282,16415238.0,21.166,19.543,-1,0.0,Check out Red SANTA Figurine w/Christmas Tree*Primitive/French Country Mantel Decor $URL$ via $MENTION$
Gon have to start rocking @Nike now. *rummaging thru closet for sneakers*,Nike,04/09/2018,79.6,0.0326633165829146,18565837.0,20.517,20.153,-1,0.0,Gon have to start rocking $MENTION$ now. *rummaging thru closet for sneakers*
@LoriFazio @Breaking911 @adidas adidas sponsors joe biden tho,adidas,05/09/2018,206.7,0.0377358490566038,824583.0,18.894,29.218000000000004,-1,0.0,$MENTION$ $MENTION$ $MENTION$ adidas sponsors joe biden tho
"RT @SonexStella: [TRANS] Who wants to meet Fany 🙋🏻‍♀️🎀@hm @hmusa#hm #hmlovesmusiceet me @ H&amp;M KOREA❤️
9/27일 • Jamaican Lotte World Ma…",H&M,17/09/2018,16.03,-0.1466500311915159,1738.0,97.828,74.355,1,0.2,$RESERVED$ $MENTION$: [TRANS] Who wants to meet Fany $EMOJI$$EMOJI$$EMOJI$$EMOJI$$MENTION$ $MENTION$$HASHTAG$ $HASHTAG$ me $MENTION$ H&amp;M KOREA$EMOJI$9/27 Jamaican Lotte World Ma
RT @Tosinkuti_: runway highlights from the 2nd day of the heineken lagos fashion week. @Heineken @YagazieEmezi @DenolaGrey @lagosfashionwee…,Heineken,30/10/2018,78.4,-0.0084183673469389,567825.0,21.341,18.813,1,0.0,$RESERVED$ $MENTION$: runway highlights from the $NUMBER$nd day of the heineken lagos fashion week. $MENTION$ $MENTION$ $MENTION$ $MENTION$
RT @vivekagnihotri: My article in @Yahoohttps://t.co/83FzSb0jnM,Yahoo,02/09/2018,3.35,0.0,1500.0,33.796,56.804,1,0.0,$RESERVED$ $MENTION$: My article in $MENTION$://$URL$
@pnwbeardeddude @CBSThisMorning @adidas @Reebok Don’t nobody care.  Got your shoes?  Who cares but you.,adidas,06/09/2018,206.0,0.0470873786407766,660320.0,17.19,29.283,1,0.0,$MENTION$ $MENTION$ $MENTION$ $MENTION$ Dont nobody care. Got your shoes? Who cares but you.
Lots of good info on shipping in this article by @FedEx https://t.co/Ajj1VnAsXw,FedEx,12/09/2018,252.98,-0.0277097003715708,1558191.0,16.660999999999998,14.970999999999998,1,0.7,Lots of good info on shipping in this article by $MENTION$ $URL$
RT @ieBay416: A nice pair of Hollister Women's Size 3R Blue Jeans! @eBay - https://t.co/r8q7rREMHZ via @eBay #ebay #ebayseller #ebayreselle…,eBay,01/10/2018,32.51,0.0156874807751462,11990681.0,23.54,17.737000000000005,1,0.3,$RESERVED$ $MENTION$: A nice pair of Hollister Women's Size $NUMBER$R Blue Jeans! $MENTION$ - $URL$ via $MENTION$ $HASHTAG$ $HASHTAG$ $HASHTAG$
"RT @JayRuderman: Great meeting today 2 discuss #Disability inclusion &amp; representation with @Walmart @sarahartweir, Shira Ruderman, J…",Walmart,01/03/2017,70.45,0.0275372604684172,13522717.0,21.237,17.533,1,0.8,"$RESERVED$ $MENTION$: Great meeting today $NUMBER$ discuss $HASHTAG$ inclusion &amp; representation with $MENTION$ $MENTION$, Shira Ruderman, J"
"@verizon has lost points in my book! We used to get excellent reception up north, they stopped renting the tower ne… https://t.co/DU082HTdGz",Verizon,05/09/2018,53.82,0.010219249349684,15301165.0,15.957,15.123,1,0.0,"$MENTION$ has lost points in my book! We used to get excellent reception up north, they stopped renting the tower ne $URL$"
"RT @NISMO: “A word of caution before you press that start button.....""Find out more about @KelleyBlueBook's drive of the @Nissan #OMGTR50…",Nissan,12/09/2018,1028.0,-0.0068093385214007,10639200.0,11.313,12.497,-1,0.5,"$RESERVED$ $MENTION$: A word of caution before you press that start button.....""Find out more about $MENTION$'s drive of the $MENTION$ $HASHTAG$"
Like that @CocaCola bottle isn’t in the shot for a reason. #KavanaughHearings,CocaCola,27/09/2018,46.01,0.0013040643338405,10826880.0,13.488,11.675,1,0.0,Like that $MENTION$ bottle isnt in the shot for a reason. $HASHTAG$
RT @Apple: iPhone XR. You’ve never seen anything like the all-new Liquid Retina display. It’s brilliant. In every way.,Apple,23/10/2018,222.73,-0.0153549140214609,38767846.0,31.695,28.617,-1,0.0,$RESERVED$ $MENTION$: iPhone XR. Youve never seen anything like the all-new Liquid Retina display. Its brilliant. In every way.
"@Ryanair What about the passengers of the many flights cancelled in Barcelona 17.08.18, that -being all flights in… https://t.co/455EVnzPzw",Ryanair,12/09/2018,13.19,0.0189537528430629,1785379.0,16.896,31.583,1,0.5,"$MENTION$ What about the passengers of the many flights cancelled in Barcelona $NUMBER$, that -being all flights in $URL$"
